Schweizerische Nährwertdatenbank komplett (bearbeitet durch Lesley Grünenfelder) (Stand: 01.02.2023) ;;;;;;;;;;;;;;;;;;;;;;;;;;;Schweizerische Nährwertdatenbank komplett (bearbeitet durch Lesley Grünenfelder) (Stand: 30.01.2023) ;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Name;Synonym (neu) ;Unterkategorie  (neu) ;Kategorie (neu) ;Bezugseinheit;Energie, Kilojoule (kJ);Energie, Kalorien (kcal);Fett, total (g);Fettsäuren, gesättigt (g);Fettsäuren, einfach ungesättigt (g);Fettsäuren, mehrfach ungesättigt (g);Cholesterin (mg);Kohlenhydrate, verfügbar (g);Zucker (g);Stärke (g);Nahrungsfasern (g);Protein (g);Salz (NaCl) (g);Alkohol (g);Wasser (g);Vitamin A-Aktivität, RE (µg-RE);Vitamin A-Aktivität, RAE (µg-RE);Retinol (µg);Betacarotin-Aktivität (µg-BCE);Betacarotin (µg);Vitamin B1 (Thiamin) (mg);Vitamin B2 (Riboflavin) (mg);Vitamin B6 (Pyridoxin) (mg);Vitamin B12 (Cobalamin) (µg);Vitamin B3 Niacin (mg);Folat (µg);Vitamin B5 (Pantothensäur)e (mg);Vitamin C (Ascorbinsäure) (mg);Vitamin D (Calciferol) (µg);Vitamin E-Aktivität (mg-ATE);Kalium (K) (mg);Natrium (Na) (mg);Chlorid (Cl) (mg);Calcium (Ca) (mg);Magnesium (Mg) (mg);Phosphor (P) (mg);Eisen (Fe) (mg);Jod (I) (µg);Zink (Zn)  (mg);Selen (Se) (µg);vegetarisch (ja/nein);vegan (ja/nein);laktosefrei (ja/nein);glutenfrei (ja/nein) 
Minipic Würstchen ;;Wurstware ;Fleisch und Fleischerzeugnisse ;pro 100g essbarer Anteil;1900;460;39.1;15.4;18.7;3.8;97;0.8;0.8;0;0;26.1;4.5;0;26.4;1;1;Sp.;7;7;0.28;0.16;0.22;1.8;7.2;2.6;0.9;3.9;1.6;Sp.;390;1780;2540;Sp.;28;330;3;0.8;3.9;13;nein;nein;nein;ja
Mirabelle;gedünstet, abgetropft (ohne Zugabe von Zucker) ;Früchte zubereitet ;Früchte;pro 100g essbarer Anteil;296;70;0.2;0;0;0;0;16.6;12.2;0;2;0.7;0;0;80.5;42;21;0;252;227;0.05;0.01;0.04;0;0.14;4.5;0.16;2.5;0;1.75;170;0;0;12;7.5;19;0.1;1.1;0.1;1.5;ja;ja;ja;ja
Mirabelle;roh ;Früchte frisch ;Früchte;pro 100g essbarer Anteil;323;76;0.2;Sp.;Sp.;Sp.;0;18;13.3;Sp.;2.2;0.6;0;0;78.1;49;24;0;292;263;0.07;0.02;0.05;0;0.16;7.8;0.17;5.5;0;1.52;240;Sp.;Sp.;11;8.2;21;0.1;1;0.1;1.3;ja;ja;ja;ja
Molke;süss ;Milch;Milch und Milchprodukte;pro 100 ml;102;24;0.2;0.1;0.1;0;1;4.7;4.7;0;0;0.8;0.1;0;93.6;3;3;3;0;0;0.04;0.14;0.04;0.2;0.2;1;0.4;1;0;0;130;45;67;68;8;40;0.1;8;0.1;k.A.;ja;nein;nein;ja
Morchel;gedünstet (ohne Zugabe von Fett und Salz) ;Pilze zubereitet ;Pilze ;pro 100g essbarer Anteil;139;34;0.4;0.1;0;0.2;0;0.6;0.1;0;8.5;2.8;0;0;88.5;0;0;0;0;0;0.12;0.06;0.05;0;4.88;18.3;2.5;4.5;3.8;0.22;370;2.1;9.3;13;16;190;1.2;12;0.5;k.A.;ja;ja;ja;ja
Morchel;roh ;Pilze frisch ;Pilze ;pro 100g essbarer Anteil;119;29;0.3;0.1;0;0.2;0;0.5;0.1;0;7;2.5;0;0;90;0;0;0;0;0;0.13;0.06;0.05;0;5;25;2.5;5;3.1;0.19;390;2;8;11;16;160;1.2;10;0.5;k.A.;ja;ja;ja;ja
Mortadella ;;Wurstware ;Fleisch und Fleischerzeugnisse ;pro 100g essbarer Anteil;1300;314;27.3;10.2;12.4;2.8;75;0.8;0.8;0;0;16.1;2.1;0;55.7;5;5;5;0;0;0.37;0.12;0.2;1.08;3.05;3.1;0.49;25.5;0;0.42;100;840;1240;3.9;13;170;0.9;1.5;1.3;k.A.;nein;nein;nein;jaa
Mostbröckli ;;Wurstware ;Fleisch und Fleischerzeugnisse ;pro 100g essbarer Anteil;633;150;1.9;0.9;0.9;0.2;69;0.5;0.5;0;0;32.6;4.7;0;58.4;2;2;2;0;0;0.1;0.17;0.37;1.4;7.1;Sp.;0.9;11.6;Sp.;Sp.;580;1860;2870;Sp.;33;300;3.3;Sp.;5.9;14;nein;nein;ja;ja
Mozzarella ;;Käse, Frischkäse;Milch und Milchprodukte;pro 100g essbarer Anteil;1060;256;19.5;11.4;6;0.7;46;0.7;0.7;0;0;19.5;0.4;0;58.8;205;194;183;130;130;0.03;0.27;0.07;1.4;0.4;16;0.14;0;0.3;0.39;8;140;810;340;10;350;0.1;4.8;2.6;k.A.;ja;nein;nein;ja
Müeslimischung;Getreideflocken mit Früchten und Nüssen, gezuckert  ;Frühstückscerealien ;Getreide und Getreideprodukte;pro 100g essbarer Anteil;1540;365;5.6;0.7;2.2;2.1;0;62.2;10.6;50.8;10.1;11.4;0.1;0;11.5;7;3;0;39;39;0.35;0.1;0.17;0;2.02;48.7;0.71;1.4;0;1.38;390;46;140;45;94;310;3.1;2.1;2.3;k.A.;ja;nein;nein;nein
Müeslimischung;Getreideflocken mit Früchten und Nüssen, ungesüsst ;Frühstückscerealien ;Getreide und Getreideprodukte;pro 100g essbarer Anteil;1570;372;8.4;1.5;3.3;2.8;0;57.4;11.6;44.6;10.7;11.3;0;0;13;6;3;0;35;35;0.36;0.12;0.23;0;2.2;52.4;0.73;4.2;0;2.67;450;14;44;55;110;310;3.3;2.4;2.3;k.A.;ja;nein;nein;nein
Mürbeteig (mit Butter);süss, gebacken ;Brot und Backware ;Getreide und Getreideprodukte;pro 100g essbarer Anteil;2210;530;28.6;16.3;6.9;1.9;126;57.3;13.2;43.6;2;9.8;0.9;0;3;261;252;244;106;106;0.11;0.07;0.11;0.21;0.2;10.4;0.52;0;0.9;0.95;140;350;540;20;24;120;1.3;7;1;5.3;ja;nein;nein;nein
Mürbeteig (mit Butter);süss, ungebacken ;Brot und Backware ;Getreide und Getreideprodukte;pro 100g essbarer Anteil;1770;424;22.9;13.1;5.5;1.5;101;45.8;10.5;34.9;1.6;7.8;0.7;0;22.4;232;224;217;95;94;0.12;0.06;0.1;0.17;0.17;16.7;0.55;0;0.7;0.76;120;280;430;16;19;92;1;5.6;0.8;4.2;ja;nein;nein;nein
Mürbeteig (mit pflanzlichem Fett);süss, gebacken ;Brot und Backware ;Getreide und Getreideprodukte;pro 100g essbarer Anteil;2060;491;24.7;10.6;10;2.8;26;58.4;17.8;40.2;1.9;8;0.3;0;7.7;7;7;7;0;0;0.1;0.04;0.09;0.1;0.18;7.2;0.34;0;0.2;2.81;120;130;220;12;21;86;1;3.5;0.7;3;ja;nein;nein;nein
Mürbeteig (mit pflanzlichem Fett);süss, ungebacken ;Brot und Backware ;Getreide und Getreideprodukte;pro 100g essbarer Anteil;1650;393;19.7;8.5;8;2.3;21;46.7;14.2;32.2;1.5;6.4;0.3;0;26.2;7;7;7;0;0;0.1;0.03;0.08;0.08;0.15;11.4;0.37;0;0.2;2.25;93;100;170;9.3;17;69;0.8;2.8;0.6;2.4;ja;nein;nein;nein
Mütschli ;;Brot und Backware ;Getreide und Getreideprodukte;pro 100g essbarer Anteil;1080;255;0.8;0.2;0.1;0.4;0;51.8;0.7;50.2;2.5;8.7;1.7;0;36.8;0;0;0;0;0;0.11;0.04;0.06;0.01;0.43;15.4;0.23;0;0;0.14;140;690;1080;7.8;14;60;0.6;0.9;0.5;1.9;ja;nein;nein;ja
Nasi Goreng;zubereitet ;salzige Gerichte ;Gerichte;pro 100g essbarer Anteil;527;125;1.8;0.3;1.1;0.3;23;16.1;0.7;13.5;0.5;10.8;1.3;0;70.9;30;16;2;167;167;0.11;0.06;0.18;0.07;4.07;4.3;0.4;10.9;0.4;0.29;170;510;780;18;17;120;0.3;1.3;0.7;k.A.;ja/nein;nein;ja/nein;nein
Nektarine;roh ;Früchte frisch ;Früchte;pro 100g essbarer Anteil;231;55;0.3;0;0.1;0.1;0;11.3;8.8;Sp.;1.3;1;0;0;86.1;30;15;0;178;130;0.02;0.02;0.02;0;0.64;8;0.24;4.6;0;0.45;260;<1;7;7;9;25;0.2;3;0.1;<0.2;ja;ja;ja;ja
Nussgipfel aus Blätterteig ;;Brot und Backware ;Getreide und Getreideprodukte;pro 100g essbarer Anteil;1750;419;26.9;9.9;12.4;2.1;72;36.2;15.8;19.2;2.7;6.8;0.5;0;28.1;148;142;137;61;61;0.13;0.04;0.14;0.08;0.34;18.1;0.49;0.4;0.4;3.86;190;210;340;43;40;110;1.3;4.5;1;2;ja;nein;nein;nein
Nussgipfel aus Blätterteig ;;-;Süssspeisen, Süssigkeiten und Snacks ;pro 100g essbarer Anteil;1750;419;26.9;9.9;12.4;2.1;72;36.2;15.8;19.2;2.7;6.8;0.5;0;28.1;148;142;137;61;61;0.13;0.04;0.14;0.08;0.34;18.1;0.49;0.4;0.4;3.86;190;210;340;43;40;110;1.3;4.5;1;2;ja;nein;nein;nein
Nussgipfel aus Hefeteig ;;Brot und Backware ;Getreide und Getreideprodukte;pro 100g essbarer Anteil;1330;318;12.6;3.3;6.8;1.4;39;41.9;18.4;22.6;2.7;7.7;0.7;0;35.7;47;45;43;18;18;0.21;0.14;0.13;0.1;0.97;37.5;0.49;0.3;0.2;2.98;210;280;440;51;34;120;1.1;4.2;0.9;0.8;ja;nein;nein;nein
Nussgipfel aus Hefeteig ;;-;Süssspeisen, Süssigkeiten und Snacks ;pro 100g essbarer Anteil;1330;318;12.6;3.3;6.8;1.4;39;41.9;18.4;22.6;2.7;7.7;0.7;0;35.7;47;45;43;18;18;0.21;0.14;0.13;0.1;0.97;37.5;0.49;0.3;0.2;2.98;210;280;440;51;34;120;1.1;4.2;0.9;0.8;ja;nein;nein;nein
Nüsslisalat;roh ;Gemüse frisch ;Gemüse ;pro 100g essbarer Anteil;96;23;0.4;0.1;0;0.2;0;2;2;0;1.7;2;0;0;92.8;447;223;0;2681;2681;0.08;0.09;0.12;0;0.4;71.1;0.2;33.4;0;0.3;460;4;70;38;13;53;2.1;35;0.5;k.A.;ja;ja;ja;ja
Nussschnecke aus Hefeteig ;;Brot und Backware ;Getreide und Getreideprodukte;pro 100g essbarer Anteil;1860;445;18.7;5.7;9.6;1.9;61;54.9;12.9;40.6;3.8;12.2;1.2;0;11.4;82;80;77;31;31;0.33;0.19;0.21;0.17;1.51;58.3;0.76;0.5;0.4;3.25;300;470;740;69;42;170;1.6;6.5;1.2;k.A.;ja;nein;nein;nein
Nussschnecke aus Hefeteig ;;-;Süssspeisen, Süssigkeiten und Snacks ;pro 100g essbarer Anteil;1860;445;18.7;5.7;9.6;1.9;61;54.9;12.9;40.6;3.8;12.2;1.2;0;11.4;82;80;77;31;31;0.33;0.19;0.21;0.17;1.51;58.3;0.76;0.5;0.4;3.25;300;470;740;69;42;170;1.6;6.5;1.2;k.A.;ja;nein;nein;nein
Ofen-Frites;tiefgekühlt Ofen-Pommes;-;Kartoffeln und Kartoffelprodukte ;pro 100g essbarer Anteil;535;127;5;0.4;3.6;0.7;0;18.1;0.9;17.2;1.4;1.8;0;0;73.7;1;1;0;5;5;0.17;0.02;0.42;0;0.48;28.6;0.35;12.9;0;1.55;320;8.6;59;5.2;15;34;0.3;2.9;0.2;k.A.;ja;ja;ja;nein
Olive;gefüllt mit Hackfleisch, frittiert ;Früchte zubereitet ;Früchte;pro 100g essbarer Anteil;1370;328;15.1;3.2;9.1;1.8;47;32.8;2.1;30.6;3.2;13.1;1.5;0.4;35.9;79;51;23;340;340;0.14;0.09;0.13;0.39;0.88;19.5;0.57;3.3;0.7;2.3;180;600;950;120;25;130;1.1;8.1;1.5;k.A.;ja;ja;ja;ja
Olive;grün, in Salzlake, abgetropft ;Früchte konserviert;Früchte;pro 100g essbarer Anteil;632;154;15.7;2.3;11.1;1.5;0;Sp.;Sp.;0;3.6;1.3;3.2;0;75.8;4;2;0;27;27;<0.02;<0.01;0.02;0;<0.1;<5;0.04;<0.5;<0.3;5.23;31;1260;1760;58;24;6.7;0.2;2;0.1;0;ja;ja;ja;ja
Olive;schwarz ;Früchte frisch ;Früchte;pro 100g essbarer Anteil;722;176;17.2;2.1;10.2;1.5;0;0.8;0.8;0;6.2;1.4;1.8;0;74.9;44;22;0;265;265;0.02;<0.01;0.03;0;<0.1;<5;0.04;<0.5;0;6.1;19;710;1070;80;16;7.9;8.5;4.5;0.1;k.A.;ja;ja;ja;ja
Olivenöl ;;-;Fette und Öle ;pro 100 ml;3330;810;90;10.7;67.7;6.7;0;0;0;0;0;0;0;0;0;13;7;0;79;79;0;0;0;0;0;0;0;0;0;27.84;0.9;0.9;90;0;0.9;1.8;0.1;0.1;0;0;ja;ja;ja;ja
Orange;roh ;Früchte frisch ;Früchte;pro 100g essbarer Anteil;192;45;0.2;Sp.;Sp.;Sp.;0;8;7.6;0.4;2.7;0.8;0;0;87.3;26;13;0;154;72;0.09;0.03;0.05;0;0.35;18.8;0.18;50.9;0;0.19;180;Sp.;4;45;15;38;0.3;1;0.2;<0.5;ja;ja;ja;ja
Orangeat ;;-;Süssspeisen, Süssigkeiten und Snacks ;pro 100g essbarer Anteil;1300;306;0.3;0.1;0.1;0.1;0;74.3;74.3;0;2.3;0.4;0;0;21.5;33;17;0;200;200;0.04;0.03;0.06;0;0.3;4;0.15;4;0;0;70;1;1;50;7;7;0.3;0.5;0.1;k.A.;ja;ja;ja;ja
Orangennektar ;;Fruchtsaft;Früchte;pro 100 ml;185;44;0;Sp.;Sp.;Sp.;0;10.5;10.5;0;0.1;0.4;0;0;88.2;7;3;0;40;40;0.04;0.01;0.02;0;0.14;12;0.08;12;0;0.1;110;1;3;6;7;10;0.1;2;0.1;k.A.;ja;ja;ja;ja
Orangensaft ;;Fruchtsaft;Früchte;pro 100 ml;187;44;0.1;0.1;0;0;0;10;10;0;0.3;0.6;0;0;91.7;5;2;0;27;27;0.08;0.02;0.1;0;0.31;31.2;0.25;38.5;0;0.21;170;5;68;8.3;10;17;0.1;0.7;0;<0.5;ja;ja;ja;ja
Orangensaft ;;Fruchtsaft;Getränke;pro 100 ml;187;44;0.1;0.1;0;0;0;10;10;0;0.3;0.6;0;0;91.7;5;2;0;27;27;0.08;0.02;0.1;0;0.31;31.2;0.25;38.5;0;0.21;170;5;68;8.3;10;17;0.1;0.7;0;<0.6;ja;ja;ja;ja
Palmöl - Palmfett ;;-;Fette und Öle ;pro 100 ml;3290;799;88.8;41.3;34.9;8.7;0;0;0;0;0;0;0;0;1.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8.55;0.9;0.9;0.9;0.9;0.9;0.9;0;Sp.;0;0;ja;ja;ja;ja
Pancetta ;;Wurstware ;Fleisch und Fleischerzeugnisse ;pro 100g essbarer Anteil;1930;467;43;14.4;18.9;6.6;80;0.4;Sp.;Sp.;0;19.5;4.6;0;33;0;0;0;0;0;0.45;0.14;0.3;Sp.;Sp.;3;Sp.;0;1.4;0.1;190;1850;Sp.;13;Sp.;84;0.8;Sp.;1.9;k.A.;nein;nein;ja;ja
Panettone ;;Brot und Backware ;Getreide und Getreideprodukte;pro 100g essbarer Anteil;1490;354;10.7;5.6;3.2;0.7;112;56.5;22.9;33.6;2.8;6.4;0.1;0;26.9;113;107;102;63;63;0.13;0.11;0.12;k.A.;0.63;33;k.A.;0;0.4;0.62;230;38;k.A.;149;k.A.;130;3;k.A.;-0.4;k.A.;ja;nein;nein;nein
Panettone ;;-;Süssspeisen, Süssigkeiten und Snacks ;pro 100g essbarer Anteil;1490;354;10.7;5.6;3.2;0.7;112;56.5;22.9;33.6;2.8;6.4;0.1;0;26.9;113;107;102;63;63;0.13;0.11;0.12;k.A.;0.63;33;k.A.;0;0.4;0.62;230;38;k.A.;150;k.A.;130;3;k.A.;0.6;k.A.;ja;nein;nein;nein
Paniermehl ;;Mehl;Getreide und Getreideprodukte;pro 100g essbarer Anteil;1580;373;2.1;0.5;0.3;0.7;0;73.5;4.4;69.1;4.5;12.7;1;0;6.8;0;0;0;0;0;0.2;0.05;0.11;0;0.8;39;0.6;0;0;0.4;130;400;700;50;23;100;1.2;2.8;0.9;k.A.;ja;ja;ja;nein
Pantli ;;Wurstware ;Fleisch und Fleischerzeugnisse ;pro 100g essbarer Anteil;2280;553;51.4;20.1;24.4;4.4;87;0.9;0.9;0;0;21.7;4;0;26;9;8;8;7;7;0.46;0.25;0.28;3.73;6.32;2.6;0.55;73.1;0;0.7;350;1600;2350;5.1;22;180;1.7;0.8;3.2;k.A.;nein;nein;ja;ja
Papaya;reif, roh ;Früchte frisch ;Früchte;pro 100g essbarer Anteil;188;44;0.1;0;0;0;0;9.5;9.5;0;1.8;0.5;0;0;87.9;75;37;0;449;169;0.03;0.03;0.04;0;0.33;17.8;0.16;67.8;0;0.35;220;14;6;21;17;9;0.2;0.1;0.1;0.9;ja;ja;ja;ja
Paprika (Gewürz) ;;-;Kräuter, Gewürze und Würzmittel ;pro 100g essbarer Anteil;1490;358;13;2.1;1.2;8.4;0;34.9;33.2;1.7;20.9;14.8;0.1;0;9.3;6060;3030;0;36360;36360;0.65;1.74;0;0;15.3;0;0;0;0;0;2340;34;220;180;190;350;24;5;4.1;k.A.;ja;ja;ja;ja
Paranuss ;;-;Nüsse, Samen, Kernen ;pro 100g essbarer Anteil;2880;698;66.5;16.1;23.9;24.4;0;4.2;2.3;0.3;7.5;17;0;0;3.4;0;0;0;0;0;0.62;0.04;0.1;0;0.3;22;0.18;0.7;0;5.65;640;0.7;55;160;350;650;2.4;5;4.3;230;ja;ja;ja;ja
Pariserbrot ;;Brot und Backware ;Getreide und Getreideprodukte;pro 100g essbarer Anteil;1080;255;0.9;0.2;0.1;0.5;0;51.2;0.5;50.1;2.9;9;1.6;0;36.8;0;0;0;0;0;0.12;0.03;0.09;0.01;0.46;8.8;0.26;0;0;0.19;140;660;1020;10;22;81;0.9;1;0.7;2.7;ja;ja;ja;nein
Parmesan ;;Käse, Hartkäse ;Milch und Milchprodukte;pro 100g essbarer Anteil;1670;401;31;20.6;7.2;1;77;Sp.;Sp.;0;0;30.5;1.6;0;31.4;298;288;278;118;118;0.02;0.29;0.1;1.75;0.2;20;0.79;Sp.;0.8;0.78;100;650;1700;1340;44;800;0.7;40;4;k.A.;ja;nein;nein;ja
Passionsfrucht;roh ;Früchte frisch ;Früchte;pro 100g essbarer Anteil;426;102;3;0.5;0.5;1.8;0;10.9;8.5;1.2;6.8;2.1;0;0;73.6;127;64;0;764;670;0;0.07;0.23;0;1.47;102.6;0.27;25.6;0;0.4;240;5;37;8.1;26;46;0.6;1.3;0.8;0.2;ja;ja;ja;ja
Pastinake;gekocht (ohne Zugabe von Salz) ;Gemüse zubereitet ;Gemüse ;pro 100g essbarer Anteil;247;58;0.4;0.1;0;0.2;0;11.4;2.9;8.5;2.1;1.2;0;0;84.9;3;2;0;19;19;0.07;0.1;0.07;0;0.69;22.7;0.33;8.3;0;0.94;250;4.6;46;47;16;78;0.6;3.4;0.7;1.6;ja;ja;ja;ja
Pastinake;roh ;Gemüse frisch ;Gemüse ;pro 100g essbarer Anteil;260;62;0.4;0.1;0;0.3;0;12.1;3.1;9;2.1;1.3;0;0;81.8;3;2;0;20;20;0.1;0.13;0.09;0;0.94;43.2;0.52;19.7;0;0.89;520;8;49;47;26;82;0.7;3.6;0.9;1.7;ja;ja;ja;ja
Peperoni;grün, gedünstet (ohne Zugabe von Fett und Salz) ;Gemüse zubereitet ;Gemüse ;pro 100g essbarer Anteil;104;25;0.4;0.1;0;0.2;0;3.2;3.1;0.1;2.5;1;0;0;93;49;25;0;295;256;0.03;0.01;0.29;0;0.11;21.8;0.14;121.6;0;1.12;160;6.9;24;7.7;6.6;19;0.3;2.5;0.2;k.A.;ja;ja;ja;ja
Peperoni;grün, roh ;Gemüse frisch ;Gemüse ;pro 100g essbarer Anteil;85;20;0.3;0.1;0;0.2;0;2.6;2.5;0.1;2;0.8;0;0;92.9;42;21;0;250;217;0.03;0.01;0.28;0;0.1;27.6;0.13;126.6;0;0.85;160;6;19;6;6;15;0.3;2;0.2;k.A.;ja;ja;ja;ja
Peperoni;rot, gedünstet (ohne Zugabe von Fett und Salz) ;Gemüse zubereitet ;Gemüse ;pro 100g essbarer Anteil;163;39;0.4;0.1;0;0.2;0;6.4;6.2;0.1;2.5;1.1;0;0;89.6;180;90;0;1078;825;0.03;0.03;0.29;0;0.95;22.2;0.17;143.4;0;0.92;170;3.4;23;11;13;25;0.4;1.3;0.3;k.A.;ja;ja;ja;ja
Peperoni;rot, roh ;Gemüse frisch ;Gemüse ;pro 100g essbarer Anteil;133;32;0.4;0.1;0;0.1;0;5.2;5.1;0.1;2;0.9;0;0;91.3;152;76;0;910;696;0.03;0.03;0.27;0;0.9;28.2;0.16;149.3;0;0.7;170;3;18;9;12;20;0.4;1;0.3;k.A.;ja;ja;ja;ja
Pestosauce;grün ;Saucen;Verschiedenes;pro 100g essbarer Anteil;1770;430;42.5;6.5;16.6;17.6;18;6.6;3.2;1.9;2.5;3.9;2.7;0;39;152;82;13;831;831;0.05;0.1;0.07;0;0.59;25.8;0.31;92.6;<0.3;17.9;200;1060;1690;150;36;94;0.6;4;0.7;4;ja;ja/nein;ja/nein;ja
Pestosauce;rot ;Saucen;Verschiedenes;pro 100g essbarer Anteil;1640;398;35.8;4.9;15.8;13.2;5;10.8;7.1;1.1;5;5.7;2.1;0;38.7;103;60;17;520;520;0.13;0.16;0.26;0.08;2.93;34.3;0.63;20.6;0;18.02;1050;830;1310;99;58;140;2;3.4;1;k.A.;ja;ja/nein;ja/nein;ja
Petersilie;roh ;-;Kräuter, Gewürze und Würzmittel ;pro 100g essbarer Anteil;245;58;0.5;0.1;0;0.2;0;7.4;4.8;2.6;4.3;3.9;0.1;0;82.1;770;385;0;4620;4620;0.15;0.3;0.2;0;1.4;132;0.31;182;0;3.54;850;38;160;210;37;110;5.9;3.4;0.8;k.A.;ja;ja;ja;ja
Petit Beurre ;;Brot und Backware ;Getreide und Getreideprodukte;pro 100g essbarer Anteil;1820;431;12.4;7.1;2.8;1;33;70.2;20.6;49.1;2.3;8.7;0.5;0;7.2;116;111;107;52;51;0.15;0.03;0.12;0.01;0.23;11.5;0.35;0;0.2;0.45;130;220;350;11;24;90;1.1;1.9;0.8;1.7;ja;nein;nein;nein
Petit Beurre ;;-;Süssspeisen, Süssigkeiten und Snacks ;pro 100g essbarer Anteil;1820;431;12.4;7.1;2.8;1;33;70.2;20.6;49.1;2.3;8.7;0.5;0;7.2;116;111;107;52;51;0.15;0.03;0.12;0.01;0.23;11.5;0.35;0;0.2;0.45;130;220;350;11;24;90;1.1;1.9;0.8;1.7;ja;nein;nein;nein
Petit Beurre mit Schokolade ;;Brot und Backware ;Getreide und Getreideprodukte;pro 100g essbarer Anteil;2020;482;21.3;12.9;6.5;1.1;23;63.8;37.2;25.8;2.1;7.7;0.5;0;5.5;85;82;78;41;41;0.1;0.21;0.07;0;0.31;6.3;0.23;1.3;0.1;0.36;370;200;250;120;39;160;1.6;9.1;1.2;k.A.;ja;nein;nein;nein
Petit Beurre mit Schokolade ;;-;Süssspeisen, Süssigkeiten und Snacks ;pro 100g essbarer Anteil;2020;482;21.3;12.9;6.5;1.1;23;63.8;37.2;25.8;2.1;7.7;0.5;0;5.5;85;82;78;41;41;0.1;0.21;0.07;0;0.31;6.3;0.23;1.3;0.1;0.36;370;200;250;120;39;160;1.6;9.1;1.2;k.A.;ja;nein;nein;nein
Petit Beurre;Vollkorn ;Brot und Backware ;Getreide und Getreideprodukte;pro 100g essbarer Anteil;1790;426;12.7;7.1;2.8;1.4;33;65.3;17.3;47.8;6;9.6;0.6;0;7.1;116;112;107;54;54;0.26;0.09;0.23;0.01;0.39;25.9;0.67;0;0.2;1.03;290;230;360;30;68;190;2.8;2.5;1.8;3.2;ja;nein;nein;nein
Petit Beurre;Vollkorn ;-;Süssspeisen, Süssigkeiten und Snacks ;pro 100g essbarer Anteil;1790;426;12.7;7.1;2.8;1.4;33;65.3;17.3;47.8;6;9.6;0.6;0;7.1;116;112;107;54;54;0.26;0.09;0.23;0.01;0.39;25.9;0.67;0;0.2;1.03;290;230;360;30;68;190;2.8;2.5;1.8;3.2;ja;nein;nein;nein
Pfefferminze;roh ;-;Kräuter, Gewürze und Würzmittel ;pro 100g essbarer Anteil;205;49;0.7;0.1;0;0.4;0;5.3;5.2;0.1;3;3.8;0;0;86.1;122;61;0;730;730;0.12;0.33;0.05;0;1.1;110;0.19;31;0;5;260;15;34;210;30;75;9.5;4;1.2;k.A.;ja;ja;ja;ja
Pferd;Filet, gebraten (ohne Zusatz von Fett und Salz) ;Fleisch zubereitet ;Fleisch und Fleischerzeugnisse ;pro 100g essbarer Anteil;547;129;2;0.9;0.9;0.1;71;0;0;0;0;27.8;0.1;0;70.2;20;20;20;0;0;0.09;0.11;0.29;3;4.73;9.1;0.66;0;0.2;0.14;300;51;12;16;27;220;6.2;1.4;4;k.A.;nein;nein;ja;ja
Pferd;Filet, roh ;Fleisch frisch;Fleisch und Fleischerzeugnisse ;pro 100g essbarer Anteil;433;102;1.9;0.9;0.8;0.1;52;0;0;0;0;21.4;0.1;0;74.8;20;20;20;0;0;0.13;0.1;0.38;3;4.6;8;0.6;0;0.2;0.14;330;44;9;13;23;190;4.7;1;2.9;k.A.;nein;nein;ja;ja
Pferderagout mit Sauce;zubereitet ;salzige Gerichte ;Gerichte;pro 100g essbarer Anteil;370;88;3.1;0.6;2;0.3;30;3;1.5;1.5;0.6;11.8;0.8;0;81.6;129;69;9;722;722;0.04;0.05;0.12;1.03;1.54;5.8;0.25;0.9;0.1;0.65;130;300;440;14;11;87;2.8;1.1;1.6;k.A.;nein;nein;nein;ja
Pfirsich;gelb, roh ;Früchte frisch ;Früchte;pro 100g essbarer Anteil;183;43;0.1;0;0;0;0;8.9;8;0;1.9;0.8;0;0;87.3;25;12;0;147;147;0.01;0.03;0.02;0;0.63;4.5;0.18;6.1;0;0.96;190;1.3;2.6;7.3;9;21;0.2;3;0.1;1.3;ja;ja;ja;ja
Pfirsich;in Sirup, Konserve, abgetropft ;Früchte konserviert;Früchte;pro 100g essbarer Anteil;346;82;0.1;0;0;0;0;18.6;17.9;0;1.6;0.7;0;0;78.9;19;9;0;113;113;0.01;0.02;0.01;0;0.51;2.3;0.15;2.5;0;0.98;120;0.8;2.8;7.2;7.4;17;0.1;3.1;0.1;1.3;ja;ja;ja;ja
Pfirsich;mit Süssungsmittel, Konserve, abgetropft ;Früchte konserviert;Früchte;pro 100g essbarer Anteil;170;40;0.1;0;0;0.1;0;8.1;7.3;0;1.7;0.8;0;0;89.2;21;10;0;125;125;0.01;0.03;0.02;0;0.57;2.5;0.17;2.8;0;1.09;130;0.9;3;7.9;8.2;19;0.2;3.4;0.2;1.5;ja;ja;ja;ja
Pflaume;gedünstet, abgetropft (ohne Zugabe von Zucker) ;Früchte zubereitet ;Früchte;pro 100g essbarer Anteil;203;48;0.2;0;0;0.1;0;10.1;8.6;0;1.6;0.7;0;0;87.5;28;14;0;166;163;0.03;0.04;0.03;0;0.44;1.2;0.16;2.6;0;1.06;120;1.3;1.9;9.7;7.3;16;0.3;1.7;0.1;0.7;ja;ja;ja;ja
