Schweizerische Nährwertdatenbank komplett (bearbeitet durch Lesley Grünenfelder) (Stand: 01.02.2023) ;;;;;;;;;;;;;;;;;;;;;;;;;;;Schweizerische Nährwertdatenbank komplett (bearbeitet durch Lesley Grünenfelder) (Stand: 30.01.2023) ;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Name;Synonym (neu) ;Unterkategorie  (neu) ;Kategorie (neu) ;Bezugseinheit;Energie, Kilojoule (kJ);Energie, Kalorien (kcal);Fett, total (g);Fettsäuren, gesättigt (g);Fettsäuren, einfach ungesättigt (g);Fettsäuren, mehrfach ungesättigt (g);Cholesterin (mg);Kohlenhydrate, verfügbar (g);Zucker (g);Stärke (g);Nahrungsfasern (g);Protein (g);Salz (NaCl) (g);Alkohol (g);Wasser (g);Vitamin A-Aktivität, RE (µg-RE);Vitamin A-Aktivität, RAE (µg-RE);Retinol (µg);Betacarotin-Aktivität (µg-BCE);Betacarotin (µg);Vitamin B1 (Thiamin) (mg);Vitamin B2 (Riboflavin) (mg);Vitamin B6 (Pyridoxin) (mg);Vitamin B12 (Cobalamin) (µg);Vitamin B3 Niacin (mg);Folat (µg);Vitamin B5 (Pantothensäur)e (mg);Vitamin C (Ascorbinsäure) (mg);Vitamin D (Calciferol) (µg);Vitamin E-Aktivität (mg-ATE);Kalium (K) (mg);Natrium (Na) (mg);Chlorid (Cl) (mg);Calcium (Ca) (mg);Magnesium (Mg) (mg);Phosphor (P) (mg);Eisen (Fe) (mg);Jod (I) (µg);Zink (Zn)  (mg);Selen (Se) (µg);vegetarisch (ja/nein);vegan (ja/nein);laktosefrei (ja/nein);glutenfrei (ja/nein) 
Apfelkuchen;hausgemacht, gebacken (mit Kuchenteig) Apfelwähe ;-;Süssspeisen, Süssigkeiten und Snacks ;pro 100g essbarer Anteil;614;146;6.6;2.8;2.5;0.8;18;18.5;9.4;9;1.3;2.6;0.2;0;71.1;11;9;8;15;15;0.03;0.04;0.05;0.08;0.1;5.3;0.21;3.9;0.1;0.76;120;89;180;18;10;43;0.4;3.4;0.3;1.8;ja;nein;nein;nein
Apfelkuchen;hausgemacht, gebacken (mit Kuchenteig) Apfelwähe ;süsse Gerichte ;Gerichte;pro 100g essbarer Anteil;614;146;6.6;2.8;2.5;0.8;18;18.5;9.4;9;1.3;2.6;0.2;0;71.1;11;9;8;15;15;0.03;0.04;0.05;0.08;0.1;5.3;0.21;3.9;0.1;0.76;120;89;180;18;10;43;0.4;3.4;0.3;1.8;ja;nein;nein;nein
Apfelmus;gezuckert (Konserve) ;Früchte konserviert ;Früchte;pro 100g essbarer Anteil;379;89;0.3;0.1;0;0.1;0;20.5;20.4;0.1;1.9;0.3;0;0;76.5;k.A.;k.A.;k.A.;k.A.;k.A.;0.02;0.02;0.04;0;0.08;5.9;0.08;2.3;0;0.34;97;3.6;2.1;4.4;3.6;8.1;0.2;0.7;0.1;k.A.;ja;ja;ja;ja
Apfelmus;ungezuckert (Konserve) ;Früchte konserviert ;Früchte;pro 100g essbarer Anteil;232;55;0.3;0.1;0;0.1;0;11.7;11.6;0.1;2.1;0.3;0;0;85;k.A.;k.A.;k.A.;k.A.;k.A.;0.02;0.02;0.05;0;0.09;6.5;0.09;2.5;0;0.43;110;4;2.2;4.8;4;9;0.2;0.8;0.1;k.A.;ja;ja;ja;ja
Apfelsaft Süssmost;;Fruchtsaft ;Getränke;pro 100 ml;212;50;0.1;0;0;0;0;11.9;11.3;0;0.2;0.2;0;0;91.9;1;1;0;7;7;0.01;Sp.;0.04;0;0.04;7;0.05;7.4;0;0.51;120;14;2;4.5;4.7;6.9;0.3;1;Sp.;-0.9;ja;ja;ja;ja
Apfelsaft Süssmost;;Fruchtsaft ;Früchte;pro 100 ml;212;50;0.1;0;0;0;0;11.9;11.3;0;0.2;0.2;0;0;91.9;1;1;0;7;7;0.01;Sp.;0.04;0;0.04;7;0.05;7.4;0;0.51;120;14;2;4.5;4.7;6.9;0.3;1;Sp.;0.1;ja;ja;ja;ja
Appenzeller;viertelfett ;Käse, Hartkäse;Milch und Milchprodukte;pro 100g essbarer Anteil;985;235;11.4;6.8;2.7;0.5;34;0;0;0;0;33.1;2;0;48.2;141;136;130;68;68;0.04;0.5;0.07;1.3;0.1;15;0.54;Sp.;0.3;0.36;120;810;1240;1090;36;730;0.2;35;2.5;k.A.;ja;nein;nein;ja
Appenzeller;vollfett ;Käse, Hartkäse;Milch und Milchprodukte;pro 100g essbarer Anteil;1590;384;31.7;19;7.4;1.5;95;0;0;0;0;24.3;1.6;0;39.6;382;366;350;190;190;0.04;0.36;0.07;1.06;0.1;15;0.33;Sp.;0.5;0.95;82;620;960;740;29;540;0.3;8.4;4;k.A.;ja;nein;nein;ja
Aprikose;gedünstet, abgetropft (ohne Zugabe von Zucker) ;Früchte zubereitet ;Früchte;pro 100g essbarer Anteil;189;45;0.2;0;0.1;0;0;9;6.7;Sp.;1.7;1;0;0;88.2;360;180;0;2161;2103;0.02;0.02;0.05;0;0.38;3.5;0.18;1.8;0;0.88;200;Sp.;1.3;18;8.4;22;0.2;0.6;0.1;0.1;ja;ja;ja;ja
Aprikose;getrocknet ;Früchte getrocknet ;Früchte;pro 100g essbarer Anteil;1010;239;0.5;0.2;0.1;0.2;0;59.1;34.3;<0.4;8.3;2.9;0;0;24.7;421;210;0;2525;2525;0.01;0.04;0.15;0;2.69;8.9;0.58;0.2;0;5.52;1370;11;5.4;82;50;110;1.4;2.7;0.4;0.4;ja;ja;ja;ja
